,Monday,Tuesday,Wednesday,Thursday,Friday
9:00 AM,,,,,
9:30 AM,,,,,
10:00 AM,"Andrew Martinko - Velocity
https://meet.google.com/hea-vcji-tcz","Andrew Martinko - Velocity
meet.google.com/yey-fwud-ahn",,,"Mischa Hamara - NEXT Canada
meet.google.com/pfw-xyfg-ghx"
10:30 AM,,,,,
11:00 AM,,,,,"Mischa Hamara - NEXT Canada
meet.google.com/pfw-xyfg-ghx"
11:30 AM,,,,,
12:00 PM,,,,,
12:30 PM,,,,,
1:00 PM,,,,,
1:30 PM,,,,,
2:00 PM,,"Jimmy Yun - 8VC
meet.google.com/dcx-yrey-qxw","Jimmy Yun - 8VC
meet.google.com/oct-gexp-niu",,
2:30 PM,,,,,
3:00 PM,,,,,"Krysta Traianovski - Velocity
meet.google.com/tws-yzva-upr"
3:30 PM,"Irene (Heejin) Koo - Soma Cap
meet.google.com/ffu-zmvf-iws",,,,
4:00 PM,,,,"Krysta Traianovski - Velocity
meet.google.com/gwp-zdfj-buh","Irene (Heejin) Koo - Soma Cap
meet.google.com/ffu-zmvf-iws"
4:30 PM,,,,,
5:00 PM,,,,,